school_name,school_code,subject,me_num,me_percent,e_num,e_percent,m_num,m_percent,pm_num,pm_percent,nm_num,nm_percent,num_of_students_included,part_rate_percent,avg_scaled_score,sgp,included_in_sgp,ach_pctl,year
Attleboro - A. Irvin Studley Elementary School,160001,MATH,          70,48,           5,3,          65,45,          59,41,          16,11,         145,99,496.7,51.6,          72,59.0,2022
Attleboro - Cyril K. Brennan Middle School,160315,ELA,         202,35,          22,4,         180,31,         261,45,         113,20,         576,99,491.5,44.5,         525,37.0,2022
Attleboro - Cyril K. Brennan Middle School,160315,MATH,         183,32,           9,2,         174,30,         288,50,         106,18,         577,99,490.9,46.4,         526,42.0,2022
Attleboro - Cyril K. Brennan Middle School,160315,SCI,          79,30,           7,3,          72,27,         119,45,          68,26,         266,99,488.0,,,30.0,2022
Attleboro - Hill-Roberts Elementary School,160045,ELA,          58,36,           6,4,          52,33,          78,49,          23,14,         159,100,493.0,35.0,          77,43.0,2022
Attleboro - Hill-Roberts Elementary School,160045,MATH,          67,42,           2,1,          65,41,          71,45,          20,13,         158,100,492.9,50.6,          77,48.0,2022
Attleboro - Hyman Fine Elementary School,160040,ELA,          73,41,          11,6,          62,34,          82,46,          25,14,         180,99,495.0,52.1,          92,51.0,2022
Attleboro - Hyman Fine Elementary School,160040,MATH,          70,39,           8,4,          62,34,          85,47,          25,14,         180,99,493.9,59.2,          92,51.0,2022
Attleboro - Peter Thacher Elementary School,160050,ELA,          66,41,           9,6,          57,35,          73,45,          22,14,         161,99,497.5,49.7,          77,61.0,2022
Attleboro - Peter Thacher Elementary School,160050,MATH,          68,43,           5,3,          63,39,          64,40,          28,18,         160,99,496.3,61.2,          76,58.0,2022
Attleboro - Robert J. Coelho Middle School,160305,ELA,         210,36,          16,3,         194,33,         307,52,          71,12,         588,100,493.0,47.0,         565,43.0,2022
Attleboro - Robert J. Coelho Middle School,160305,MATH,         270,46,          34,6,         236,40,         270,46,          43,7,         583,99,498.2,52.9,         560,63.0,2022
Attleboro - Robert J. Coelho Middle School,160305,SCI,         156,50,          27,9,         129,42,         129,42,          24,8,         309,98,500.2,,,65.0,2022
Attleboro - Thomas Willett Elementary School,160035,ELA,          48,35,           6,4,          42,30,          69,50,          22,16,         139,100,492.2,43.5,          61,40.0,2022
Attleboro - Thomas Willett Elementary School,160035,MATH,          55,40,           7,5,          48,35,          54,39,          29,21,         138,99,490.2,43.9,          60,40.0,2022
Attleboro - Wamsutta Middle School,160320,ELA,         213,38,          27,5,         186,33,         273,49,          73,13,         559,100,493.1,42.1,         540,43.0,2022
Attleboro - Wamsutta Middle School,160320,MATH,         220,39,          23,4,         197,35,         288,51,          52,9,         560,100,495.5,51.0,         540,56.0,2022
Attleboro - Wamsutta Middle School,160320,SCI,         110,39,          11,4,          99,35,         131,46,          43,15,         284,100,493.6,,,44.0,2022
Auburn - Auburn Middle,170305,ELA,         290,47,          36,6,         254,41,         249,40,          77,13,         616,100,497.2,47.8,         579,59.0,2022
Auburn - Auburn Middle,170305,MATH,         279,45,          31,5,         248,40,         277,45,          61,10,         617,100,496.7,46.1,         581,59.0,2022
Auburn - Auburn Middle,170305,SCI,         125,58,          15,7,         110,51,          79,37,          11,5,         215,99,502.4,,,72.0,2022
Auburn - Swanson Road Intermediate School,170030,ELA,         258,46,          27,5,         231,41,         251,45,          48,9,         557,100,497.9,48.7,         352,62.0,2022
Auburn - Swanson Road Intermediate School,170030,MATH,         267,48,          39,7,         228,41,         230,41,          59,11,         556,100,499.7,54.7,         350,68.0,2022
Auburn - Swanson Road Intermediate School,170030,SCI,          98,46,          20,9,          78,37,          89,42,          25,12,         212,100,499.6,,,62.0,2022
Avon - Avon Middle High School,180510,ELA,          31,29,           3,3,          28,26,          52,49,          24,22,         107,100,488.2,44.7,         101,28.0,2022
Avon - Avon Middle High School,180510,MATH,          28,26,           4,4,          24,22,          56,52,          23,21,         107,100,487.0,40.2,         101,30.0,2022
Avon - Avon Middle High School,180510,SCI,          23,41,           2,4,          21,38,          26,46,           7,13,          56,100,494.0,,,45.0,2022
